weekday,date,hour,dnh,week,area,url,lat,lng
Mon,1,00,100,A,1,https://www.instagram.com/p/BB_afmyHZmb/,48.8486557,2.3481125
Wed,3,00,300,A,1,https://www.instagram.com/p/BB2JXEQlWeJ/,48.85318877,2.348506927
Wed,3,00,300,A,1,https://www.instagram.com/p/BB2mJeNv6MW/,48.8495599,2.34917
Wed,3,00,300,A,1,https://www.instagram.com/p/BB2RfW-S99R/,48.85318877,2.348506927
Wed,3,00,300,A,1,https://www.instagram.com/p/BB2sKglvG2X/,48.85318877,2.348506927
Wed,3,00,300,A,1,https://www.instagram.com/p/BB2sokYSkrR/,48.85318877,2.348506927
Wed,3,00,300,A,1,https://www.instagram.com/p/BB2tHjeJkcY/,48.85318877,2.348506927
Wed,3,00,300,A,1,https://www.instagram.com/p/BB2UlgjGFA2/,48.84317465,2.35776962
Wed,3,00,300,A,1,https://www.instagram.com/p/BB2xjZGmE2T/,48.85091,2.35568
Wed,3,00,300,A,1,https://www.instagram.com/p/BB2ySBYyh-g/,48.84611111,2.345833333
Wed,3,00,300,A,1,https://www.instagram.com/p/BB2yuCxAWkf/,48.85318877,2.348506927
Thu,4,00,400,A,1,https://www.instagram.com/p/BB4e48ZGEP-/,48.84933,2.35614
Thu,4,00,400,A,1,https://www.instagram.com/p/BB4hGOTi9E0/,48.85277778,2.346388889
Thu,4,00,400,A,1,https://www.instagram.com/p/BB4mihIQXVD/,48.85318877,2.348506927
Thu,4,00,400,A,1,https://www.instagram.com/p/BB4pq0Dlia6/,48.85318877,2.348506927
Thu,4,00,400,A,1,https://www.instagram.com/p/BB4R6bbuKd1/,48.85318877,2.348506927
Thu,4,00,400,A,1,https://www.instagram.com/p/BB4rJ2yyrBg/,48.84194444,2.349722222
Thu,4,00,400,A,1,https://www.instagram.com/p/BB4rQirq5Lh/,48.85318877,2.348506927
Thu,4,00,400,A,1,https://www.instagram.com/p/BB4sXtoLAxO/,48.85318877,2.348506927
Thu,4,00,400,A,1,https://www.instagram.com/p/BB4uvyGITar/,48.85318877,2.348506927
Thu,4,00,400,A,1,https://www.instagram.com/p/BB4vhgbIAK5/,48.85318877,2.348506927
Thu,4,00,400,A,1,https://www.instagram.com/p/BB5_mivwZDo/,48.85318877,2.348506927
Thu,4,00,400,A,1,https://www.instagram.com/p/BB5_owHmSLw/,48.85318877,2.348506927
Thu,4,00,400,A,1,https://www.instagram.com/p/BB5_OXfiZ63/,48.85565523,2.347714327
